Token,Predict
stomach,stomach.n.01
is,O
grumbling,grumble.v.02
fields,fields.n.01
abound,abound.v.01
in,O
wild~flowers,O
and,O
still,O
love,love.v.01
each~other,O
live,live.v.01
in,O
am,O
from,O
respects,respect.v.01
religions,religion.n.01
runner,runner.n.02
stole,steal.v.01
third~base,O
planted,plant.v.01
roses,rose.n.01
in,O
garden,garden.n.01
man,man.n.01
dancing,dance.v.02
on,O
stage,stage.n.03
is,O
uncle,uncle.n.01
am,O
not,O
ashamed,ashamed.a.01
to,O
be,O
seen,see.v.01
with,O
's,O
cooking,cook.v.01
teacher,teacher.n.01
accused,accuse.v.01
of,O
cheating,cheat.v.03
denied,deny.v.01
accusation,accusation.n.01
'm,O
convinced,convinced.a.01
job,job.n.01
is,O
perfect,perfect.a.01
for,O
hate,hate.v.01
color,color.n.01
've,O
ordered,order.v.02
book,book.n.02
from,O
is,O
parking,park.v.01
car,car.n.01
There,O
's,O
volcano,volcano.n.01
emitting,emit.v.01
masses,multitude.n.03
of,O
smoke,smoke.v.01
in,O
trip,trip.n.01
will,O
take,take_place.v.01
approximately,O
five,O
hours,hour.n.01
jotted,jot.v.01
down,O
something,entity.n.01
in,O
notebook,notebook.n.02
was,O
eating,eat.v.01
sandwich,sandwich.n.01
Shag~rugs,O
were,O
popular,popular.a.01
in,O
is,O
out,O
now,O
anal,anal.a.01
fissures,crevice.n.01
curable,curable.a.01
is,O
going,go.v.01
to,O
concert,concert.n.01
'd,O
like,like.v.02
two,O
kilos,kilo.n.01
of,O
apples,apple.n.01
All~at~once,O
ship,ship.n.01
left,leave.v.01
pier,pier.n.01
book,book.n.02
about,O
dancing,dance.v.02
is,O
lying,lie.v.05
on,O
desk,desk.n.01
apologized,apologize.v.01
to,O
employee,employee.n.01
name,name.n.01
is,O
very,very.r.01
rare,rare.a.01
in,O
country,country.n.02
stepped,step.v.01
into,O
lion,lion.n.01
's,O
den,den.n.04
should,O
drink,drink.v.01
ounces,ounce.n.01
of,O
fluids,fluid.n.01
day,day.n.01
cleaned,clean.v.01
out,O
bank~accounts,O
and,O
disappeared,disappear.v.01
has,O
brought,bring.v.01
up,O
five,O
children,child.n.02
gave,give.v.03
in,O
brown,brown.a.01
paper~bag,O
am,O
dyeing,dye.v.01
hair,hair.n.01
brown,brown.a.01
How,O
's,O
tries,try.v.01
called,call.v.01
has,O
son,son.n.01
adores,adore.v.01
cats,cat.n.01
begged,beg.v.01
to,O
stay,stay.v.01
makes,make.v.24
kind~of,kind_of.r.01
happy,happy.a.01
learn,learn.v.01
used,O
to,O
be,O
cop,bull.n.05
respects,respect.v.01
opinion,opinion.n.01
was,O
born,bear.v.02
in,O
crowd,crowd.n.01
rushed,rush.v.01
to,O
exit,exit.n.01
octopus,octopus.n.01
is,O
in,O
sea,sea.n.01
train,train.n.01
is,O
going,go.v.01
to,O
government,government.n.01
appointed,appoint.v.02
ambassador,ambassador.n.01
to,O
man,man.n.01
is,O
resting,rest.v.01
on,O
chair,chair.n.01
and,O
rubbing,rub.v.01
eyes,eye.n.01
Someone,person.n.01
is,O
writing,write.v.01
Two,O
groups,group.n.01
of,O
people,person.n.01
are,O
playing,play.v.01
football,football.n.01
ring,ring.n.08
is,O
does,O
not,O
want,want.v.01
kind,entity.n.01
of,O
flowers,flower.n.01
is,O
kind~of,kind_of.r.01
interesting,interesting.a.01
is,O
smoother,smooth.a.01
than,O
billiard~ball,O
's,O
government,government.n.01
and,O
non-profit,O
are,O
launching,establish.v.01
new,new.a.01
appeal,entreaty.n.01
to,O
save,salvage.v.01
critically,critically.r.01
endangered,endanger.v.01
one-horned~rhino,O
reports,report.v.01
two,O
portraits,portrayal.n.01
and,O
lithography,lithography.n.01
by,O
were,O
recovered,recover.v.01
using,use.v.01
database,database.n.01
summit,acme.n.01
of,O
mountain,mountain.n.01
is,O
covered,cover.v.02
with,O
snow,snow.n.02
book,book.n.02
is,O
written,write.v.01
in,O
of,O
talk,talk.v.01
in,O
read,read.v.01
comic~books,comic_book.n.01
ran,run_away.v.01
out,O
of,O
food,food.n.02
lights,light_up.v.04
went,go.v.01
out,O
hesitated,hesitate.v.01
for,O
moment,O
was,O
feeling,feel.v.03
kind~of,kind_of.r.01
tired,tired.a.01
is,O
good,good.a.01
boy,boy.n.01
and,O
very,very.r.01
strong,strong.a.01
There,O
was,O
abandoned,abandon.v.05
car,car.n.01
by,O
river,river.n.01
Where,location.n.01
does,O
live,live.v.01
name,name.n.01
's,O
not,O
girl,girl.n.01
'm,O
professional,professional.a.01
photographer,photographer.n.01
's,O
confusing,confuse.v.01
's,O
under,O
table,table.n.02
never,O
touched,touch.v.01
have,O
never,O
translated,translate.v.01
book,book.n.02
're,O
afraid,afraid.a.01
of,O
is,O
's,O
ex,O
boyfriend,boyfriend.n.01
man,man.n.01
is,O
jewels,jewel.n.01
are,O
's,O
took,take.v.02
off,O
old,old.a.01
shoes,shoe.n.01
and,O
put,put.v.01
on,O
new,new.a.01
ones,ring.n.08
There,O
are,O
almost,O
seven~billion,O
people,person.n.01
in,O
world,world.n.04
debts,debt.n.01
amounted,amount.v.02
to,O
thousand,O
dollars,dollar.n.01
took,take.v.02
off,O
bullet-proof,O
vest,vest.n.01
has,O
started,start.v.02
to,O
learn,learn.v.01
If,O
is,O
proficient,proficient.a.01
in,O
'll,O
employ,use.v.01
How,O
many,O
chromosomes,chromosome.n.01
does,O
human~being,O
have,O
eyes,eye.n.01
are,O
like,like.v.02
of,O
leopard,leopard.n.01
paid,pay.v.01
by,O
credit~card,credit_card.n.01
school,school.n.02
looks,look_like.v.01
like,like.v.02
prison,prison.n.01
There,O
are,O
students,student.n.01
in,O
schoolyard,schoolyard.n.01
actress,actress.n.01
fainted,faint.v.01
right,O
in,O
middle,middle.n.01
of,O
play,play.v.01
asked,ask.v.01
for,O
money,money.n.01
and,O
walked,walk.v.01
down,O
busy,busy.a.01
sidewalk,sidewalk.n.01
cut,cut.v.01
looks,look_like.v.01
infected,infect.v.04
boy,boy.n.01
is,O
playing,play.v.01
with,O
toy,toy.n.01
soldiers,soldier.n.01
has,O
been,O
snowing,snow.v.01
for,O
two,O
days,day.n.01
box,box.n.01
is,O
heavy,heavy.a.01
was,O
like,like.v.02
father,father.n.01
to,O
am,O
scaring,scare.v.01
sparrows,sparrow.n.01
away,O
was,O
three,O
in,O
morning,morning.n.01
is,O
bit,O
crazy,crazy.a.05
note,note.n.01
is,O
jotted,jot.v.01
directly,directly.r.01
on,O
envelope,envelope.n.01
swam,swim.v.01
quit,quit.v.01
smoking,smoke.v.01
two,O
years,year.n.01
ago,O
despises,despise.v.01
lies,lie.v.01
Something,entity.n.01
strange,strange.a.01
is,O
happening,happen.v.01
is,O
shy,shy.a.01
of,O
strangers,stranger.n.01
whispered,whisper.v.01
something,entity.n.01
in,O
's,O
ear,ear.n.01
directed,direct.v.03
to,O
theater,theater.n.01
arrived,arrive.v.01
at,O
work,work.v.02
tourists,tourist.n.01
were,O
ripped,rip_up.v.01
off,O
at,O
nightclub,cabaret.n.01
tsunami,tsunami.n.01
alert,alert.a.01
was,O
cancelled,cancel.v.01
was,O
turned,turn.v.03
down,O
's,O
graphic~designer,O
bought,buy.v.01
at,O
butcher,butcher.n.01
's,O
helps,help.v.01
was,O
sick,sick.a.01
of,O
noise,noise.n.01
guards,guard.n.01
found,find.v.01
hacksaw,hacksaw.n.01
blade,blade.n.01
in,O
prisoner,prisoner.n.01
's,O
pocket,pocket.n.01
policeman,policeman.n.01
is,O
on,O
duty,duty.n.02
left,leave.v.01
son,son.n.01
lot,O
of,O
money,money.n.01
's,O
much,O
bigger,big.a.01
than,O
'm,O
frantic,frantic.s.01
heard,hear.v.01
phone,phone.n.01
answered,answer.v.02
may,O
be,O
jogging,jog.v.03
around,O
park,park.n.02
was,O
born,bear.v.02
in,O
eighties,O
pretty,pretty.a.01
flower,flower.n.01
forgot,forget.v.04
mobile~phone,mobile_phone.n.01
Now,O
're,O
flying,fly.v.01
over,O
is,O
bad,bad.a.07
at,O
sports,sport.n.01
is,O
knitting,knitting.n.02
scarf,scarf.n.01
has,O
daughter,daughter.n.01
will,O
be,O
arriving,arrive.v.01
by,O
train,train.n.01
at,O
eleven,O
beautiful,beautiful.a.01
sunset,sunset.n.01
'm,O
always,O
thirsty,thirsty.a.02
stopped,stop.v.02
studying,study.v.05
left,leave.v.01
university,university.n.02
without,O
degree,degree.n.01
said,say.v.01
name,name.n.01
was,O
did,O
n't,O
baby,baby.n.01
is,O
weeks,week.n.01
old,old.a.01
mother,mother.n.01
began,begin.v.01
to,O
sing,sing.v.01
married,marry.v.01
daughter,daughter.n.01
to,O
lawyer,lawyer.n.01
lent,lend.v.02
book,book.n.02
about,O
rain,rain.n.01
lasted,last.v.01
three,O
days,day.n.01
'm,O
busy,busy.a.01
right,O
now,O
Despite,O
riches,wealth.n.03
's,O
not,O
contented,content.v.01
How,O
many,O
subscribers,subscriber.n.01
does,O
magazine,magazine.n.02
have,O
peeled,skin.v.04
apple,apple.n.01
fool,fool.n.01
've,O
been,O
happy,happy.a.01
surprise,surprise.v.01
hugged,hug.v.01
Is,O
apple,apple.n.01
red,red.a.01
uncle,uncle.n.01
is,O
rich,rich.a.01
took,take.v.02
couple,couple.n.01
of,O
hours,hour.n.01
to,O
solve,solve.v.01
problem,problem.n.02
think,think.v.01
're,O
jealous,jealous.a.01
old,old.a.01
cat,cat.n.01
is,O
still,O
alive,alive.a.01
'm,O
convinced,convinced.a.01
is,O
lying,lie.v.05
seeds,seed.n.01
have,O
germinated,shoot.v.19
watched,watch.v.03
Swedish,country.n.02
movie,movie.n.01
dish,dish.n.01
is,O
more,O
delicious,delicious.a.02
than,O
one,person.n.01
must,O
destroy,destroy.v.01
evidence,evidence.n.03
'd,O
like,like.v.02
piña~colada,O
wanted,want.v.01
to,O
go,go.v.01
was,O
young,young.a.01
and,O
innocent,innocent.a.01
owns,own.v.01
car,car.n.01
dealership,franchise.n.02
lives,live.v.01
in,O
Is,O
there,O
washing~machine,washing_machine.n.01
in,O
house,house.n.01
ordered,order.v.02
steaks,steak.n.01
Where,location.n.01
did,O
take,take_place.v.01
earrings,earring.n.01
off,O
is,O
having,have.v.06
heart~attack,heart_attack.n.01
pointed,point.v.01
gun,gun.n.01
at,O
is,O
kind,entity.n.01
to,O
died,die.v.01
from,O
turbeculosis,O
was,O
too,O
tired,tired.a.01
to,O
speak,speak.v.03
have,O
to,O
print,print.v.01
pages,page.n.01
have,O
plenty,O
of,O
time,time.n.02
hair,hair.n.01
is,O
out~of~fashion,unfashionable.a.01
now,O
passport,passport.n.02
was,O
stolen,steal.v.01
fastened,fasten.v.01
seat~belt,seat_belt.n.01
peasants,peasant.n.01
were,O
planting,plant.v.01
rice,rice.n.01
'm,O
going,go.v.01
to,O
kill,kill.v.01
has,O
three,O
sons,son.n.01
see,see.v.01
from~time~to~time,from_time_to_time.r.01
boy,boy.n.01
knocked,knock.v.02
glass,glass.n.02
over,O
nodded,nod.v.02
hesitantly,hesitantly.r.01
also,O
lost,lose.v.02
cell~phone,cellphone.n.01
's,O
going,go.v.01
to,O
Can,O
use,use.v.01
dictionary,dictionary.n.01
had,O
hat,hat.n.01
on,O
are,O
certainly,surely.r.01
homesick,homesick.a.01
bought,buy.v.01
newspaper,newspaper.n.03
's,O
not,O
very,very.r.01
handsome,handsome.a.01
have,O
plastic,plastic.n.01
tumbler,tumbler.n.01
dropped,drop.v.01
off,O
at,O
wonderful,wonderful.a.01
sight,sight.n.01
'm,O
alone,entirely.r.02
is,O
very,very.r.01
good,good.a.01
at,O
playing,play.v.01
violin,violin.n.01
is,O
aged,aged.a.03
seventeen,O
has,O
insomnia,insomnia.n.01
was,O
never,O
happy,happy.a.01
one,person.n.01
did,O
was,O
was,O
belligerent,combatant.n.01
There,O
was,O
black,black.a.01
jacket,jacket.n.01
on,O
book,book.n.02
classroom,classroom.n.01
can,O
accommodate,accommodate.v.04
only,O
thirty,O
students,student.n.01
're,O
beautiful,beautiful.a.01
Everybody,person.n.01
makes,make.v.24
mistakes,mistake.n.01
sheets,sheet.n.01
piled,pile_up.v.01
up,O
on,O
desk,desk.n.01
dad,dad.n.01
drops,drop.n.01
in,O
on,O
from~time~to~time,from_time_to_time.r.01
billion,billion.n.01
adults,adult.n.01
are,O
illiterate,illiterate.a.01
woman,woman.n.01
is,O
slicing,slice.v.03
eggplant,eggplant.n.01
General~elections,O
were,O
held,hold.v.03
in,O
on,O
of,O
was,O
elected,elect.v.01
president,president.n.01
whilst,O
and,O
emerged,emerge.v.01
as,O
largest,large.a.01
parties,party.n.04
apples,apple.n.01
are,O
n't,O
as,O
good,good.a.01
was,O
killed,kill.v.01
in,O
has,O
violated,violate.v.01
state,state.n.01
regulations,regulation.n.01
died,die.v.01
in,O
Several,O
new,new.a.01
political~parties,O
emerged,emerge.v.01
landings,landing.n.04
took,take.v.02
place,O
in,O
is,O
Norwegian,country.n.02
newspaper,newspaper.n.03
dreamt,dream.v.02
about,O
'm,O
broke,break_out.v.01
is,O
beautiful,beautiful.a.01
country,country.n.02
was,O
not,O
always,O
interested,interested.a.01
in,O
Japanese,country.n.02
festivals,festival.n.01
'm,O
afraid,afraid.a.01
line,line.n.09
is,O
busy,busy.a.01
was,O
born,bear.v.02
in,O
do,O
n't,O
remember,remember.v.01
name,name.n.01
clock,clock.n.01
right,O
's,O
ten,O
minutes,minute.n.01
fast,fast.a.02
judge,judge.n.01
's,O
decision,decision.n.02
is,O
final,final.a.01
am,O
eighteen,O
years,year.n.01
old,old.a.01
's,O
much,O
taller,tall.a.01
than,O
can,O
not,O
swim,swim.v.01
won,win.v.01
lottery,lottery.n.01
pulse,pulsation.n.01
is,O
slow,slow.a.04
is,O
great,great.a.04
scientist,scientist.n.01
is,O
not,O
younger,young.a.01
than,O
doctor,doctor.n.01
took,take.v.02
pulse,pulsation.n.01
am,O
first,O
airplane,airplane.n.01
flew,fly.v.01
in,O
for,O
twelve,O
seconds,second.n.01
bought,buy.v.01
thimble,O
'm,O
sick,sick.a.01
trees,tree.n.01
are,O
green,green.a.01
Extremely,highly.r.01
loud,loud.a.01
music,music.n.01
interrupted,interrupt.v.01
conversation,conversation.n.01
There,O
are,O
errors,error.n.01
in,O
phone~bill,O
beautiful,beautiful.a.01
city,city.n.01
song,song.n.01
is,O
called,call.v.01
must,O
promise,promise.v.01
something,entity.n.01
's,O
cliche,platitude.n.01
but,O
true,true.a.01
emit,O
heat,heat.n.02
According,according.a.02
to,O
newspaper,newspaper.n.03
there,O
was,O
earthquake,earthquake.n.01
in,O
focal~point,O
is,O
avoidance,avoidance.n.01
of,O
industrial,industrial.a.01
accidents,accident.n.01
is,O
's,O
last~name,last_name.n.01
is,O
exchange~rate,exchange_rate.n.01
of,O
yuan,yuan.n.01
to,O
dollar,dollar.n.01
is,O
king,king.n.01
ruled,govern.v.03
over,O
island,island.n.01
fire,fire.n.01
have,O
tennis~elbow,O
slapped,slap.v.01
To,O
does,O
umbrella,umbrella.n.01
belong,belong.v.05
've,O
married,marry.v.01
wrong,wrong.a.01
person,person.n.01
'll,O
find,find.v.03
cheered,cheer.v.01
did,O
dishes,dish.n.01
for,O
Do,O
n't,O
blow,blow.n.01
in,O
beehive,beehive.n.01
am,O
eating,eat.v.01
cucumber,cucumber.n.02
is,O
deeply,deeply.r.01
attached,attach.v.01
to,O
parents,parent.n.01
squirrel,squirrel.n.01
is,O
allergic,allergic.a.02
to,O
nuts,nuts.a.01
is,O
taking,take.v.18
care,care.n.01
of,O
girl,girl.n.01
is,O
buying,buy.v.01
milk,milk.n.01
at,O
supermarket,supermarket.n.01
Where,location.n.01
on,O
earth,earth.n.01
were,O
By,O
was,O
poem,poem.n.01
written,write.v.01
left,leave.v.01
for,O
must,O
be,O
fined,fine.v.01
if,O
breaks,break_down.v.04
law,law.n.01
country,country.n.02
broke,break_out.v.01
off,O
diplomatic,diplomatic.a.01
relations,relations.n.01
with,O
United~States,country.n.02
drew,draw.v.06
shortest,short.a.02
straw,straw.n.04
am,O
from,O
spoke,speak.v.02
gave,give.v.03
compact~disc,O
accompanied,accompany.v.03
on,O
piano,piano.n.01
like,like.v.02
dragon~fruit,O
booked,book.v.01
seat,seat.n.01
flew,fly.v.01
to,O
am,O
Bulgarian,bulgarian.a.01
Approximately,O
seven~billion,O
people,person.n.01
inhabit,populate.v.01
planet,planet.n.03
book,book.n.02
costs,cost.v.01
five,O
dollars,dollar.n.01
nice,nice.a.01
idea,idea.n.01
cheeks,cheek.n.01
began,begin.v.01
to,O
glow,glow.v.01
with,O
shame,shame.n.01
wrote,write.v.01
four,O
letters,letter.n.01
poor,poor.a.04
old,old.a.01
woman,woman.n.01
was,O
robbed,rob.v.01
of,O
money,money.n.01
swans,swan.n.01
are,O
white,white.a.01
novel,novel.n.01
is,O
n't,O
as,O
good,good.a.01
last,last.a.02
one,person.n.01
's,O
strange,strange.a.01
did,O
n't,O
mention,mention.n.01
went,go.v.01
instead,O
of,O
dad,dad.n.01
've,O
always,O
been,O
afraid,afraid.a.01
of,O
doctors,doctor.n.01
whispered,whisper.v.01
something,entity.n.01
into,O
ear,ear.n.01
is,O
good,good.a.01
tennis~player,tennis_player.n.01
looks,look_like.v.01
very,very.r.01
sick,sick.a.01
want,want.v.01
to,O
complain,complain.v.01
about,O
service,service.n.01
ran,run_away.v.01
away,O
from,O
home,home.n.01
when,O
was,O
thirteen,O
's,O
something,entity.n.01
special,particular.s.01
've,O
told,tell.v.02
hundred,O
times,time.n.01
was,O
breathing,breathe.v.01
does,O
n't,O
like,like.v.02
speaking,speak.v.02
in~public,in_public.r.01
listened,listen.v.01
to,O
music,music.n.01
have,O
three,O
daughters,daughter.n.01
ca,O
n't,O
run,run_over.v.01
away,O
bought,buy.v.01
fake,fake.a.02
handbag,handbag.n.01
train,train.n.01
is,O
minutes,minute.n.01
overdue,overdue.a.01
put,put.v.01
bandage,bandage.n.01
on,O
's,O
cut,cut.v.01
street,street.n.01
was,O
bustling,bustle.v.01
with,O
shoppers,shopper.n.01
plans,plan.n.01
seem,look.v.02
much,O
alike,alike.a.01
to,O
bought,buy.v.01
lot,O
of,O
things,things.n.01
at,O
flea~market,flea_market.n.01
train,train.n.01
departs,depart.v.01
at,O
little,little.a.03
girl,girl.n.01
deeply,deeply.r.01
moved,move.v.02
by,O
old,old.a.01
man,man.n.01
's,O
pitiful,pathetic.s.02
story,story.n.01
burst,burst.v.01
into,O
tears,tear.n.01
am,O
from,O
's,O
hooked,hook.v.09
on,O
Where,location.n.01
in,O
world,world.n.04
have,O
been,O
Urdu,urdu.n.01
is,O
mother~tongue,mother_tongue.n.01
There,O
are,O
forty~thousand,O
cameras,camera.n.01
in,O
's,O
pen,pen.n.01
is,O
black,black.a.01
keeps,keep.v.08
black,black.a.01
cat,cat.n.01
was,O
born,bear.v.02
at,O
six~a.m,O
on,O
Prices,monetary_value.n.01
have,O
jumped,jump.v.01
bought,buy.v.01
hot~dog,hot_dog.n.02
brother,brother.n.01
lives,live.v.01
in,O
small,small.a.01
village,village.n.02
have,O
to,O
tighten,tighten.v.01
bolts,thunderbolt.n.01
lived,live.v.01
from,O
to,O
's,O
hooked,hook.v.09
on,O
cigarettes,cigarette.n.01
does,O
n't,O
drink,drink.v.01
alcoholic~drinks,alcoholic_drink.n.01
desk,desk.n.01
is,O
made,make.v.06
of,O
wood,wood.n.01
pouted,sulk.v.01
when,O
was,O
told,tell.v.02
to,O
wash,wash.v.03
dishes,dish.n.01
old,old.a.01
lady,lady.n.01
is,O
still,O
counting,count.v.01
change,change.v.02
can,O
not,O
wipe,wipe.v.01
table,table.n.02
do,O
n't,O
have,O
cloth,cloth.n.01
grandfather,grandfather.n.01
suffers,suffer.v.02
from,O
hypertension,high_blood_pressure.n.01
driver,driver.n.01
overtook,overtake.v.01
car,car.n.01
started,start.v.02
shooting,shoot.v.01
look,look_for.v.01
down,O
on,O
liars,liar.n.01
and,O
cheats,darnel.n.01
offered,offer.v.02
beer,beer.n.01
said,say.v.01
grew,grow_up.v.01
up,O
in,O
went,go.v.01
to,O
park,park.n.02
yesterday,O
is,O
n't,O
as,O
tall,tall.a.01
got,O
wrist~watch,O
king,king.n.01
's,O
son,son.n.01
was,O
kidnapped,kidnap.v.01
hotel,hotel.n.01
can,O
accommodate,accommodate.v.04
over,O
guests,guest.n.01
and,O
chatted,chat.v.01
about,O
weather,weather.n.01
Today,O
have,O
pain,pain.n.01
's,O
close,close.v.03
friend,friend.n.01
of,O
mine,O
mother,mother.n.01
sews,O
Something,entity.n.01
had,O
n't,O
anticipated,expect.v.01
happened,happen.v.01
is,O
not,O
happy,happy.a.01
wiggled,wiggle.v.01
toes,toe.n.01
'm,O
very,very.r.01
reserved,reserve.v.03
bag,bag.n.01
is,O
made,make.v.06
of,O
leather,leather.n.01
's,O
weird,weird.a.01
flying~saucer,O
came,come.v.02
and,O
took,take.v.02
cows,cow.n.01
away,O
There,O
's,O
secret,secret.a.06
drawer,drawer.n.01
in,O
desk,desk.n.01
aim,aim.v.01
at,O
ducks,duck.n.01
but,O
do,O
n't,O
shoot,shoot.v.01
check,check.n.01
was,O
not,O
honored,honor.v.01
room,room.n.01
is,O
quite,quite.r.01
small,small.a.01
was,O
wearing,wear.v.01
orange,orange.n.01
prison,prison.n.01
jumpsuit,jump_suit.n.01
cat,cat.n.01
is,O
playing,play.v.01
with,O
ball,ball.n.01
rubbed,rub.v.01
sore,sore.n.01
feet,foot.n.02
bird,bird.n.01
is,O
wagtail,wagtail.n.01
little,little.a.03
boy,boy.n.01
is,O
at,O
zoo,zoo.n.01
