Token,Labels gold,Labels baseline,Matches
is,be.v.03,O,0
red,red.a.01,red.a.01,1
rose,rose.n.01,rise.v.01,0
in,O,O,1
pot,pot.n.04,pot.n.01,0
According,according.a.02,according.a.02,1
to,O,O,1
survey,survey.n.01,survey.n.02,0
people,person.n.01,person.n.01,1
are,O,O,1
suffering,suffer.v.01,suffer.v.02,0
from,O,O,1
poverty,poverty.n.01,poverty.n.01,1
in,O,O,1
world,world.n.01,world.n.04,0
small,small.a.01,small.a.01,1
skirt,skirt.n.01,skirt.n.01,1
is,O,O,1
pink,pink.a.01,pink.a.01,1
plane,plane.n.01,plane.n.01,1
flew,fly.v.01,fly.v.01,1
east,east.n.05,east.n.05,1
called,call.v.03,call.v.01,0
but,O,O,1
line,line.n.15,line.n.09,0
was,O,O,1
busy,busy.a.05,busy.a.01,0
is,be.v.08,O,0
expert,expert.a.01,adept.s.01,0
watchmaker,watchmaker.n.01,watchmaker.n.01,1
offered,offer.v.02,offer.v.02,1
fifty,O,O,1
pence,penny.n.01,penny.n.01,1
and,O,O,1
accepted,accept.v.02,accept.v.02,1
When,O,O,1
heard,hear.v.02,hear.v.01,0
was,O,O,1
dumbfounded,dumbfounded.a.01,dumbfounded.a.01,1
was,O,O,1
totally,totally.r.01,totally.r.01,1
secret,secret.a.01,secret.a.06,0
is,O,O,1
still,O,O,1
celebrating,celebrate.v.02,observe.v.06,0
explored,explore.v.02,explore.v.02,1
in,O,O,1
is,be.v.08,O,0
good,good.a.08,good.a.01,0
violinist,violinist.n.01,violinist.n.01,1
n't,O,O,1
allergic,allergic.a.02,allergic.a.02,1
to,O,O,1
plants,plant.n.02,plant.n.01,0
've,O,O,1
always,time.n.01,O,0
hated,hate.v.01,hate.v.01,1
boy,boy.n.01,boy.n.01,1
looked,look_like.v.01,look.v.02,0
like,O,like.v.02,0
grownup,grownup.n.01,adult.n.01,0
ruined,ruin.v.01,ruin.v.01,1
has,O,O,1
won,win.v.01,win.v.01,1
many,O,O,1
races,race.n.02,race.n.01,0
Seven,O,seven.s.01,0
vehicles,vehicle.n.01,vehicle.n.01,1
were,O,O,1
destroyed,destroy.v.01,destroy.v.01,1
dog,dog.n.01,dog.n.01,1
nipped,nip.v.02,pinch.v.01,0
at,O,O,1
sat,sit.v.03,sit.v.01,0
at,O,O,1
desk,desk.n.01,desk.n.01,1
suffered,suffer.v.02,suffer.v.02,1
from,O,O,1
smog,smog.n.01,smog.n.01,1
've,O,O,1
attempted,attempt.v.01,attempt.v.01,1
suicide,suicide.n.01,suicide.n.01,1
twice,O,O,1
is,O,O,1
walking,walk.v.09,walk.v.01,0
dog,dog.n.01,dog.n.01,1
boys,boy.n.01,boy.n.01,1
set,set_up.v.03,set_down.v.01,0
up,O,O,1
hockey~rink,ice-hockey_rink.n.01,O,0
on,O,O,1
frozen,frozen.a.01,frozen.a.05,0
pond,pond.n.01,pond.n.01,1
had,O,O,1
signed,sign.v.01,sign.v.02,0
treaty,treaty.n.01,treaty.n.01,1
with,O,O,1
government,government.n.01,government.n.01,1
in,O,O,1
mispronounces,mispronounce.v.01,O,0
many,O,O,1
words,word.n.01,word.n.01,1
was,be.v.02,O,0
's,O,O,1
last~name,last_name.n.01,last_name.n.01,1
has,have.v.01,O,0
book,book.n.02,book.n.02,1
flight,flight.n.02,flight.n.09,0
to,O,O,1
should,O,O,1
take,take.v.02,take_place.v.01,0
about,O,O,1
ninety,O,ninety.n.01,0
minutes,minute.n.01,minute.n.01,1
pregnant,pregnant.a.01,pregnant.a.01,1
ran,run_away.v.01,run_away.v.01,1
away,O,O,1
with,O,O,1
tears,tear.n.01,tear.n.01,1
in,O,O,1
eyes,eye.n.01,eye.n.01,1
Nobody,person.n.01,person.n.01,1
encouraged,encourage.v.02,encourage.v.02,1
is,O,O,1
escaping,escape.v.06,escape.v.01,0
has,O,O,1
been,be.v.03,O,0
to,O,O,1
three,O,O,1
times,time.n.01,time.n.01,1
cleared,clear.v.24,clear.v.01,0
throat,throat.n.01,throat.n.01,1
and,O,O,1
continued,continue.v.01,continue.v.01,1
to,O,O,1
speak,speak.v.01,speak.v.03,0
saw,see.v.03,see.v.01,0
nothing,entity.n.01,entity.n.01,1
is,O,O,1
n't,O,O,1
simple,simple.a.01,simple.a.01,1
know,know.v.04,know.v.01,0
but,O,O,1
does,O,O,1
n't,O,O,1
There,O,O,1
is,be.v.03,O,0
someone,person.n.01,person.n.01,1
in,O,O,1
room,room.n.01,room.n.01,1
managed,manage.v.01,manage.v.01,1
to,O,O,1
sell,sell.v.01,sell.v.01,1
car,car.n.01,car.n.01,1
for,O,O,1
lot,O,O,1
of,O,O,1
money,money.n.01,money.n.01,1
'm,be.v.08,O,0
truck~driver,truck_driver.n.01,truck_driver.n.01,1
'm,O,O,1
happy,happy.a.01,happy.a.01,1
too,O,O,1
reeled,reel.v.03,stagger.v.01,0
in,O,O,1
huge,huge.a.01,huge.a.01,1
fish,fish.n.01,fish.n.01,1
yesterday,O,O,1
is,O,O,1
plastered,plastered.a.03,plastered.a.03,1
is,O,O,1
man,man.n.01,man.n.01,1
more~than,O,O,1
forty,O,O,1
years,year.n.01,year.n.01,1
old,old.a.01,old.a.01,1
Let,O,O,1
's,O,O,1
escape,escape.v.01,escape.v.01,1
together,O,O,1
peeled,peel.v.01,skin.v.04,0
potatoes,potato.n.01,potato.n.01,1
's,O,O,1
had,have.v.07,O,0
lot,O,O,1
of,O,O,1
girlfriends,girlfriend.n.02,girlfriend.n.01,0
was,O,O,1
paralyzed,paralyze.v.02,paralyze.v.01,0
with,O,O,1
terror,terror.n.01,panic.n.01,0
is,O,O,1
awake,awake.a.01,awake.a.01,1
now,O,O,1
was,be.v.08,O,0
American,country.n.02,country.n.02,1
linguist,linguist.n.01,linguist.n.01,1
is,O,O,1
divorcing,divorce.v.02,disassociate.v.01,0
was,O,O,1
accompanied,accompany.v.04,accompany.v.03,0
by,O,O,1
wife,wife.n.01,wife.n.01,1
Would,O,O,1
stop,stop.v.02,stop.v.01,0
babbling,babble.v.01,babble.v.01,1
wrung,wring.v.01,contort.v.01,0
chicken,chicken.n.02,chicken.n.02,1
's,O,O,1
neck,neck.n.01,neck.n.01,1
called,call.v.01,call.v.01,1
stuffed,stuffed.a.01,stuff.v.01,0
squirrel,squirrel.n.01,squirrel.n.01,1
wore,wear.v.02,wear.v.01,0
flower,flower.n.01,flower.n.01,1
crown,crown.n.04,crown.n.01,0
arrived,arrive.v.01,arrive.v.01,1
two,O,O,1
days,day.n.01,day.n.01,1
ago,O,O,1
was,O,O,1
staring,stare.v.01,stare.v.01,1
at,O,O,1
nuisance,nuisance.n.02,nuisance.n.01,0
child,child.n.01,child.n.01,1
is,be.v.01,O,0
building,building.n.01,building.n.01,1
has,have.v.02,O,0
name,name.n.01,name.n.01,1
lost,lose.v.04,lose.v.02,0
mobile~phone,mobile_phone.n.01,mobile_phone.n.01,1
sailed,sail.v.01,sail.v.01,1
're,O,O,1
not,O,O,1
sure,sure.a.01,sure.a.01,1
where,location.n.01,location.n.01,1
is,be.v.03,O,0
brushed,brush.v.01,brush.v.01,1
hair,hair.n.01,hair.n.01,1
fire~fighters,fire_fighter.n.01,O,0
put,put_out.v.03,put.v.01,0
out,O,O,1
fire,fire.n.01,fire.n.01,1
shivered,shiver.v.02,shiver.v.01,0
'm,O,O,1
fantastic,fantastic.a.02,fantastic.a.02,1
have,O,O,1
been,be.v.03,O,0
to,O,O,1
many,O,O,1
times,time.n.01,time.n.01,1
works,work.v.02,work.v.02,1
for,O,O,1
bank,bank.n.02,bank.n.02,1
am,be.v.02,O,0
want,want.v.01,want.v.01,1
to,O,O,1
marry,marry.v.01,marry.v.01,1
stone,stone.n.01,stone.n.01,1
is,O,O,1
beautiful,beautiful.a.01,beautiful.a.01,1
Where,location.n.01,location.n.01,1
did,O,O,1
find,find.v.01,find.v.03,0
have,have.v.01,O,0
orange,orange.n.01,orange.n.01,1
and,O,O,1
apple,apple.n.01,apple.n.01,1
There,O,O,1
are,be.v.03,O,0
tennis~courts,tennis_court.n.01,O,0
in,O,O,1
park,park.n.02,park.n.02,1
Something,entity.n.01,entity.n.01,1
bit,bite.v.01,O,0
made,make.v.24,make.v.06,0
huge,huge.a.01,huge.a.01,1
mistake,mistake.n.01,mistake.n.01,1
climbed,climb.v.01,climb.v.01,1
is,be.v.08,O,0
detective,detective.n.01,detective.n.01,1
did,do.v.02,O,0
few,O,O,1
times,time.n.01,time.n.01,1
am,O,O,1
lesbian,lesbian.a.01,lesbian.n.01,0
was,O,O,1
wearing,wear.v.02,wear.v.01,0
mask,mask.n.01,mask.n.01,1
bell,bell.n.03,bell.n.02,0
rang,ring.v.01,ring.v.01,1
and,O,O,1
train,train.n.01,train.n.01,1
began,begin.v.03,begin.v.01,0
to,O,O,1
move,move.v.01,travel.v.01,0
paid,pay.v.01,pay.v.01,1
twenty~thousand,O,O,1
yen,yen.n.02,yen.n.02,1
for,O,O,1
hearing~aid,hearing_aid.n.01,hearing_aid.n.01,1
'm,O,O,1
sitting,sit.v.01,sit.v.01,1
next,next.a.02,next.a.02,1
to,O,O,1
has,have.v.04,O,0
three~thousand,O,O,1
books,book.n.02,book.n.02,1
retired,retire.v.01,retired.a.01,0
in,O,O,1
Dinosaur,dinosaur.n.01,dinosaur.n.01,1
remains,remains.n.02,remain.v.01,0
were,O,O,1
found,find.v.02,find.v.01,0
in,O,O,1
belongs,belong.v.05,belong.v.01,0
to,O,O,1
fire,fire.n.04,fire.n.01,0
is,O,O,1
out,out.a.02,O,0
Four,O,O,1
times,times.n.02,time.n.01,0
five,O,O,1
is,be.v.06,O,0
twenty,O,O,1
bought,buy.v.01,buy.v.01,1
old,old.a.02,old.a.01,0
lamp,lamp.n.02,lamp.n.01,0
elder,old.a.01,elder.n.01,0
sister,sister.n.01,sister.n.01,1
is,O,O,1
older,old.a.01,old.a.01,1
than,O,O,1
eldest,old.a.01,firstborn.s.01,0
brother,brother.n.01,brother.n.01,1
paid,pay.v.01,pay.v.01,1
at~most,O,O,1
ten~thousand,O,O,1
dollars,dollar.n.01,dollar.n.01,1
wind,wind.n.01,wind.n.01,1
has,O,O,1
abated,abate.v.01,slake.v.02,0
Do,O,O,1
know,know.v.01,know.v.01,1
where,location.n.01,location.n.01,1
watch,watch.n.01,watch.n.01,1
is,be.v.03,O,0
is,O,O,1
too,too.r.01,O,0
weak,weak.a.07,weak.a.01,0
to,O,O,1
work,work.v.02,work.v.02,1
bathtub,bathtub.n.01,bathtub.n.01,1
overflowed,overflow.v.01,overflow.v.01,1
while,O,while.n.01,0
was,O,O,1
talking,talk.v.01,talk.v.01,1
on,O,O,1
phone,phone.n.01,phone.n.01,1
Two,O,O,1
plus,plus.n.02,plus.n.02,1
two,O,O,1
makes,make.v.32,make.v.24,0
four,O,O,1
died,die.v.01,die.v.01,1
years,year.n.01,year.n.01,1
ago,O,O,1
Nobody,person.n.01,person.n.01,1
lives,live.v.01,live.v.01,1
in,O,O,1
house,house.n.01,house.n.01,1
There,O,O,1
were,be.v.03,O,0
many,O,O,1
rotten,rotten.a.02,rotten.a.02,1
apples,apple.n.01,apple.n.01,1
in,O,O,1
basket,basket.n.01,basket.n.01,1
owns,own.v.01,own.v.01,1
two~thousand,O,O,1
books,book.n.02,book.n.02,1
could,O,O,1
n't,O,O,1
come,come.v.01,come.v.02,0
to,O,O,1
birthday~party,birthday_party.n.01,O,0
like,like.v.03,like.v.02,0
chocolate~ice~cream,chocolate_ice_cream.n.01,chocolate_ice_cream.n.01,1
is,O,O,1
younger,young.a.01,young.a.01,1
than,O,O,1
's,O,O,1
three,O,O,1
years,year.n.01,year.n.01,1
older,old.a.01,old.a.01,1
than,O,O,1
do,O,O,1
n't,O,O,1
have,have.v.01,O,0
number,number.n.04,number.n.04,1
bridge,bridge.n.01,bridge.n.01,1
looks,look.v.02,look_like.v.01,0
steady,steady.a.03,steady.a.01,0
paid,pay.v.01,pay.v.01,1
with,O,O,1
credit~card,credit_card.n.01,credit_card.n.01,1
will,O,O,1
visit,visit.v.07,visit.v.01,0
's,be.v.01,O,0
trap,trap.n.03,trap.n.01,0
'm,O,O,1
angry,angry.a.01,angry.a.01,1
with,O,O,1
was,O,O,1
born,bear.v.02,bear.v.02,1
in,O,O,1
is,be.v.02,O,0
scientific,scientific.a.01,scientific.a.01,1
name,name.n.01,name.n.01,1
for,O,O,1
tobacco,tobacco.n.01,tobacco.n.02,0
Where,location.n.01,location.n.01,1
is,be.v.03,O,0
How,O,O,1
high,high.a.02,high.a.02,1
is,O,O,1
pitcher's~mound,pitcher's_mound.n.01,O,0
is,be.v.08,O,0
is,O,O,1
n't,O,O,1
very,very.r.01,very.r.01,1
hungry,hungry.a.01,hungry.a.01,1
left,leave.v.01,leave.v.01,1
ten,O,O,1
minutes,minute.n.01,minute.n.01,1
ago,O,O,1
received,receive.v.01,receive.v.01,1
award,award.n.02,award.n.02,1
posthumously,posthumously.r.01,posthumously.r.01,1
washed,wash.v.09,wash.v.02,0
blood,blood.n.01,blood.n.01,1
off,O,O,1
hands,hand.n.01,hand.n.01,1
married,marry.v.01,marry.v.01,1
fireman,fireman.n.04,fireman.n.04,1
sat,sit_down.v.01,sit.v.01,0
down,O,O,1
beside,O,O,1
wound,wound.n.01,wound.n.01,1
is,O,O,1
healing,heal.v.02,mend.v.02,0
flower,flower.n.01,flower.n.01,1
is,be.v.01,O,0
kind,entity.n.01,entity.n.01,1
of,O,O,1
rose,rose.n.01,rise.v.01,0
wiped,wipe_out.v.04,wipe.v.01,0
out,O,O,1
of,O,O,1
memory,memory.n.02,memory.n.01,0
bumped,bump_into.v.01,bump_into.v.01,1
into,O,O,1
window,window.n.01,window.n.01,1
Japanese,japanese.n.02,country.n.02,0
is,be.v.02,O,0
mother~tongue,mother_tongue.n.01,mother_tongue.n.01,1
prepared,prepare.v.02,prepare.v.01,0
lunch,lunch.n.01,lunch.n.01,1
for,O,O,1
stinks,stink.v.02,stink.v.02,1
was,be.v.02,O,0
first,O,O,1
gold~medal,gold_medal.n.01,gold_medal.n.01,1
had,O,O,1
won,win.v.01,win.v.01,1
meeting,meeting.n.01,meeting.n.01,1
broke,break_up.v.13,break_out.v.01,0
up,O,O,1
at,O,O,1
seven,O,O,1
love,love.v.01,love.v.01,1
vanilla~ice~cream,vanilla_ice_cream.n.01,vanilla_ice_cream.n.01,1
water,water.n.01,water.n.06,0
's,O,O,1
leaking,leak.v.03,leak.v.04,0
from,O,O,1
elbow,elbow.n.03,elbow.n.01,0
of,O,O,1
pipe,pipe.n.02,pipe.n.01,0
'm,O,O,1
unhappy,unhappy.a.01,unhappy.a.01,1
am,be.v.03,O,0
from,O,O,1
gun,gun.n.01,gun.n.01,1
is,O,O,1
n't,O,O,1
loaded,loaded.a.02,load.v.01,0
do,O,O,1
not,O,O,1
want,want.v.01,want.v.01,1
to,O,O,1
clean,clean_up.v.03,clean.v.01,0
up,O,O,1
dog,dog.n.01,dog.n.01,1
poop,poop.n.01,poop.n.01,1
Nowadays,O,O,1
anybody,person.n.01,person.n.01,1
can,O,O,1
get,get.v.01,get.v.05,0
books,book.n.02,book.n.02,1
Many,O,O,1
people,person.n.01,person.n.01,1
admire,admire.v.02,admire.v.01,0
has,O,O,1
dropped,drop.v.01,drop.v.01,1
ball,ball.n.01,ball.n.01,1
has,O,O,1
n't,O,O,1
reimbursed,reimburse.v.01,reimburse.v.01,1
yet,O,O,1
's,be.v.01,O,0
riveting,riveting.a.01,absorbing.s.01,0
story,story.n.01,story.n.01,1
cardinals,cardinal.n.01,cardinal.n.01,1
have,O,O,1
elected,elect.v.01,elect.v.01,1
new,new.a.01,new.a.01,1
pope,pope.n.01,pope.n.01,1
named,name.v.01,name.v.01,1
baby,baby.n.01,baby.n.01,1
was,O,O,1
kidnapped,kidnap.v.01,kidnap.v.01,1
by,O,O,1
terrorists,terrorist.n.01,terrorist.n.01,1
is,O,O,1
more,O,O,1
clever,clever.a.02,clever.a.02,1
than,O,O,1
Can,O,O,1
whistle,whistle.v.01,whistle.v.01,1
is,O,O,1
playing,play.v.05,play.v.01,0
with,O,O,1
toy,toy.n.01,toy.n.01,1
truck,truck.n.01,truck.n.01,1
uncle,uncle.n.01,uncle.n.01,1
brought,bring.v.01,bring.v.01,1
new,new.a.05,new.a.01,0
for,O,O,1
always,O,O,1
eat,eat_out.v.01,eat.v.01,0
out,O,O,1
'm,O,O,1
grateful,grateful.a.01,grateful.a.01,1
for,O,O,1
did,do.v.02,O,0
is,O,O,1
extremely,extremely.r.02,extremely.r.02,1
unfriendly,unfriendly.a.02,unfriendly.a.01,0
cellphone,cellphone.n.01,cellphone.n.01,1
is,O,O,1
ringing,ring.v.01,ring.v.01,1
hot,hot.a.01,hot.a.01,1
bath,bath.n.02,bath.n.02,1
relaxed,relax.v.01,relaxed.a.01,0
girl,girl.n.01,girl.n.01,1
started,start.v.02,start.v.02,1
to,O,O,1
sob,sob.v.01,sob.v.01,1
exam,exam.n.01,examination.n.02,0
was,O,O,1
two~and~a~half,O,O,1
hours,hour.n.01,hour.n.01,1
long,long.a.01,long.a.02,0
made,make.v.39,make.v.06,0
dinner,dinner.n.01,dinner.n.01,1
were,O,O,1
seated,seat.v.01,seat.v.01,1
at,O,O,1
table,table.n.03,table.n.02,0
in,O,O,1
restaurant,restaurant.n.01,restaurant.n.01,1
and,O,O,1
are,O,O,1
always,O,O,1
flirting,flirt.v.01,flirt.v.01,1
with,O,O,1
each~other,group.n.01,O,0
Suddenly,suddenly.r.01,suddenly.r.01,1
rain,rain.n.02,rain.n.01,0
began,begin.v.01,begin.v.01,1
to,O,O,1
fall,fall.v.05,fall.v.01,0
too,O,O,1
like,like.v.02,like.v.02,1
apples,apple.n.01,apple.n.01,1
's,O,O,1
eating,eat.v.01,eat.v.01,1
something,entity.n.01,entity.n.01,1
cat,cat.n.01,cat.n.01,1
ate,eat.v.01,eat.v.01,1
mouse,mouse.n.01,mouse.n.04,0
Is,O,O,1
someone,person.n.01,person.n.01,1
taking,take_care.v.02,take.v.18,0
care,O,care.n.01,0
of,O,O,1
like,like.v.02,like.v.02,1
playing,play.v.01,play.v.01,1
tennis,tennis.n.01,tennis.n.01,1
and,O,O,1
golf,golf.n.01,golf.n.01,1
is,O,O,1
ill,ill.a.01,ill.a.01,1
's,O,O,1
not,O,O,1
afraid,afraid.a.01,afraid.a.01,1
of,O,O,1
snakes,snake.n.01,snake.n.01,1
's,O,O,1
kind~of,kind_of.r.01,kind_of.r.01,1
shy,shy.a.01,shy.a.01,1
is,O,O,1
awesome,awesome.a.01,amazing.s.02,0
made,make.v.16,make.v.06,0
statement,statement.n.01,statement.n.01,1
think,think.v.02,think.v.01,0
ate,eat.v.01,eat.v.01,1
about,O,O,1
oysters,oyster.n.01,oyster.n.01,1
's,be.v.02,O,0
guardian~angel,guardian_angel.n.01,guardian_angel.n.01,1
Whoever,person.n.01,person.n.01,1
comes,come.v.01,come.v.08,0
say,say.v.01,say.v.01,1
am,O,O,1
away,away.a.01,O,0
from,O,O,1
home,home.n.01,home.n.01,1
hate,hate.v.01,hate.v.01,1
spiders,spider.n.01,spider.n.01,1
Open,open.v.01,open.v.01,1
book,book.n.02,book.n.02,1
on,O,O,1
page,page.n.01,page.n.01,1
nine,O,O,1
's,O,O,1
super,super.r.01,ace.s.01,0
simple,simple.a.01,simple.n.01,0
book,book.n.01,book.n.02,0
has,have.v.02,O,0
number,O,number.n.04,0
of,O,O,1
mistakes,mistake.n.03,mistake.n.01,0
but,O,O,1
's,O,O,1
interesting,interesting.a.01,interesting.a.01,1
genius,genius.n.01,genius.n.01,1
is,be.v.01,O,0
milked,milk.v.01,milk.v.01,1
cow,cow.n.01,cow.n.01,1
train,train.n.01,train.n.01,1
leaves,leave.v.01,leave.v.01,1
at,O,O,1
chased,chase.v.02,chase.v.01,0
condom,condom.n.01,condom.n.01,1
broke,break.v.02,break_out.v.01,0
lent,lend.v.02,lend.v.02,1
pesos,peso.n.03,peso.n.03,1
Many,O,O,1
admire,admire.v.01,admire.v.01,1
're,O,O,1
taller,tall.a.01,tall.a.01,1
than,O,O,1
show,show.n.01,show_off.v.01,0
was,O,O,1
exciting,exciting.a.01,exciting.a.01,1
accompanied,accompany.v.02,accompany.v.03,0
to,O,O,1
hospital,hospital.n.01,hospital.n.01,1
'm,O,O,1
always,O,O,1
bored,bored.a.01,bore.v.01,0
with,O,O,1
boastful,boastful.a.01,boastful.s.01,0
talk,talk.n.01,talk.v.01,0
was,O,O,1
eating,eat.v.01,eat.v.01,1
sandwich,sandwich.n.01,sandwich.n.01,1
likes,like.v.03,like.v.02,0
rolled,roll_up.v.01,roll.v.01,0
up,O,O,1
sleeves,sleeve.n.01,sleeve.n.01,1
dog,dog.n.01,dog.n.01,1
bit,bite.v.01,O,0
leg,leg.n.01,leg.n.01,1
anybody,person.n.01,person.n.01,1
else,O,O,1
absent,absent.a.01,absent.a.01,1
nephew,nephew.n.01,nephew.n.01,1
was,O,O,1
absorbed,absorbed.a.01,absorbed.a.01,1
in,O,O,1
splendid,splendid.a.01,splendid.a.01,1
fireworks,firework.n.01,firework.n.01,1
weighs,weigh.v.01,weigh.v.01,1
over,O,O,1
kilograms,kilogram.n.01,kilogram.n.01,1
erased,erase.v.02,erase.v.03,0
blackboard,blackboard.n.01,blackboard.n.01,1
for,O,O,1
teacher,teacher.n.01,teacher.n.01,1
Nine~million,O,O,1
people,person.n.01,person.n.01,1
voted,vote.v.01,vote.v.01,1
in,O,O,1
election,election.n.01,election.n.01,1
is,be.v.01,O,0
poison,poison.n.01,poison.n.01,1
as~well,O,O,1
furniture,furniture.n.01,furniture.n.01,1
was,O,O,1
bought,buy.v.01,buy.v.01,1
at,O,O,1
auction,auction.n.02,auction.n.02,1
ate,eat.v.01,eat.v.01,1
apple,apple.n.01,apple.n.01,1
bought,buy.v.01,buy.v.01,1
few,O,O,1
stamps,stamp.n.04,cast.n.03,0
shined,shine.v.10,shine.v.10,1
father,father.n.01,father.n.01,1
's,O,O,1
shoes,shoe.n.01,shoe.n.01,1
cookies,cookie.n.01,cookie.n.01,1
are,be.v.03,O,0
under,O,O,1
table,table.n.02,table.n.02,1
see,see.v.01,see.v.01,1
giraffe,giraffe.n.01,giraffe.n.01,1
gave,give.v.03,give.v.03,1
dog,dog.n.01,dog.n.01,1
bone,bone.n.01,bone.n.01,1
grunted,grunt.v.01,grunt.v.01,1
is,O,O,1
folding,fold.v.01,fold.v.01,1
shirt,shirt.n.01,shirt.n.01,1
is,be.v.02,O,0
theirs,person.n.01,person.n.01,1
won,win.v.01,win.v.01,1
bronze~medal,bronze_medal.n.01,bronze_medal.n.01,1
man,man.n.01,man.n.01,1
is,O,O,1
filling,fill.v.01,fill.v.01,1
plastic,plastic.n.01,plastic.n.01,1
container,container.n.01,container.n.01,1
is,O,O,1
proficient,proficient.a.02,proficient.a.01,0
in,O,O,1
French,french.n.01,french.n.01,1
old,old.a.02,old.a.01,0
house,house.n.01,house.n.01,1
is,O,O,1
haunted,haunted.a.03,haunt.v.03,0
teaches,teach.v.01,teach.v.01,1
at,O,O,1
people,person.n.01,person.n.01,1
died,die.v.01,die.v.01,1
when,O,O,1
sank,sink.v.04,sink.v.04,1
in,O,O,1
In,O,O,1
atomic~bomb,atomic_bomb.n.01,atomic_bomb.n.01,1
was,O,O,1
dropped,drop.v.02,drop.v.01,0
on,O,O,1
Napoleon,male.n.02,napoleon.n.01,0
marched,march.v.06,march.v.01,0
armies,army.n.01,army.n.01,1
into,O,O,1
school,school.n.01,school.n.02,0
was,O,O,1
established,establish.v.02,establish.v.01,0
in,O,O,1
took,take.v.02,take.v.02,1
three,O,O,1
hours,hour.n.01,hour.n.01,1
to,O,O,1
do,do.v.02,O,0
homework,homework.n.01,homework.n.01,1
made,make.v.06,make.v.06,1
bookshelf,bookshelf.n.01,bookshelf.n.01,1
is,be.v.03,O,0
still,O,O,1
in,O,O,1
hospital,hospital.n.01,hospital.n.01,1
can,O,O,1
not,O,O,1
fix,fix.v.01,repair.v.01,0
computer,computer.n.01,computer.n.01,1
Do,O,O,1
speak,speak.v.03,speak.v.03,1
Georgian,georgian.n.03,country.n.02,0
'm,O,O,1
fed,fed_up.a.01,fed_up.a.01,1
up,O,O,1
with,O,O,1
typical,typical.a.01,typical.a.01,1
reception,reception.n.02,reception.n.01,0
of,O,O,1
prisoners,prisoner.n.01,prisoner.n.01,1
took,take_place.v.01,take.v.02,0
place,O,O,1
on,O,O,1
prize,prize.n.01,prize.n.01,1
was,O,O,1
awarded,award.v.01,award.v.01,1
's,be.v.02,O,0
favorite,favorite.a.02,favorite.a.02,1
song,song.n.01,song.n.01,1
allergic,allergic.a.02,allergic.a.02,1
to,O,O,1
anything,entity.n.01,entity.n.01,1
ate,eat.v.01,eat.v.01,1
of,O,O,1
apple,apple.n.01,apple.n.01,1
child,child.n.01,child.n.01,1
was,O,O,1
bored,bored.a.01,bore.v.01,0
took,take.v.02,take.v.02,1
three,O,O,1
days,day.n.01,day.n.01,1
to,O,O,1
read,read.v.01,read.v.01,1
through,O,O,1
book,book.n.01,book.n.02,0
nor,O,O,1
goes,go.v.01,go.v.01,1
to,O,O,1
store,O,store.n.01,0
official,official.a.01,official.a.01,1
dinner,dinner.n.01,dinner.n.01,1
took,take_place.v.01,take.v.02,0
place,O,O,1
at,O,O,1
There,O,O,1
is,be.v.03,O,0
lake,lake.n.01,lake.n.01,1
on,O,O,1
east,east.n.05,east.n.05,1
of,O,O,1
village,village.n.02,village.n.02,1
is,be.v.03,O,0
on,O,O,1
plains,plain.n.01,plain.n.01,1
'm,O,O,1
sick,sick.a.04,sick.a.01,0
of,O,O,1
excuses,excuse.n.01,excuse.n.01,1
assemble,assemble.v.01,assemble.v.01,1
sewing~machines,sewing_machine.n.01,O,0
Actinium,actinium.n.01,actinium.n.01,1
melts,melt.v.01,melt.v.01,1
at,O,O,1
°C,degree_celsius.n.01,O,0
was,O,O,1
fined,fine.v.01,fine.v.01,1
yen,yen.n.02,yen.n.02,1
for,O,O,1
speeding,speeding.n.01,speeding.n.01,1
died,die.v.01,die.v.01,1
ten,O,O,1
years,year.n.01,year.n.01,1
ago,O,O,1
got,get_up.v.02,O,0
up,O,O,1
at,O,O,1
seven,O,O,1
in,O,O,1
morning,morning.n.01,morning.n.01,1
How,O,O,1
much,O,O,1
does,O,O,1
soccer~ball,soccer_ball.n.01,soccer_ball.n.01,1
weigh,weigh.v.01,weigh.v.01,1
has,O,O,1
been,be.v.03,O,0
to,O,O,1
many,O,O,1
times,time.n.01,time.n.01,1
worked,work.v.05,work.v.02,0
clay,clay.n.01,clay.n.01,1
into,O,O,1
vase,vase.n.01,vase.n.01,1
traffic~jam,traffic_jam.n.01,traffic_jam.n.01,1
lasted,last.v.01,last.v.01,1
one,O,person.n.01,0
hour,hour.n.01,hour.n.01,1
girl,girl.n.01,girl.n.01,1
is,O,O,1
skillful,skillful.a.01,skillful.a.01,1
with,O,O,1
fingers,finger.n.01,finger.n.01,1
drew,draw.v.06,draw.v.06,1
tree,tree.n.01,tree.n.01,1
did,O,O,1
n't,O,O,1
study,study.v.05,study.v.05,1
at~all,O,O,1
bought,buy.v.01,buy.v.01,1
vacuum~cleaner,vacuum_cleaner.n.01,O,0
at,O,O,1
supermarket,supermarket.n.01,supermarket.n.01,1
brass~band,brass_band.n.01,brass_band.n.01,1
played,play.v.03,play.v.01,0
three,3.n.01,O,0
marches,march.n.06,marche.n.01,0
Four,O,O,1
times,times.n.02,time.n.01,0
five,O,O,1
is,be.v.06,O,0
sighed,sigh.v.01,sigh.v.01,1
French,french.n.01,french.n.01,1
is,be.v.02,O,0
mother~tongue,mother_tongue.n.01,mother_tongue.n.01,1
